frame,decision,left_status,right_status,detections
0,"obstacle left, move right",very_near,far,"chair:0.95:88,932,577,1705;microwave:0.70:972,689,1080,765;oven:0.50:765,758,950,1099;microwave:0.44:667,694,775,796"
1,"obstacle left, move right",very_near,far,"chair:0.94:83,931,571,1706;microwave:0.70:954,684,1078,769;oven:0.45:760,749,946,1100"
2,"obstacle left, move right",very_near,far,"chair:0.94:80,931,566,1706;microwave:0.76:947,679,1076,769;microwave:0.42:659,693,766,797;oven:0.42:752,737,935,1100"
3,"obstacle left, move right",very_near,far,"chair:0.96:76,929,562,1704;microwave:0.86:946,687,1078,767"
4,"obstacle left, move right",very_near,far,"chair:0.94:69,933,555,1704;microwave:0.87:942,682,1080,767"
5,"obstacle left, move right",very_near,far,"chair:0.95:62,932,550,1704;microwave:0.88:936,683,1079,767"
6,"obstacle left, move right",very_near,far,"chair:0.95:59,932,547,1702;microwave:0.87:930,685,1079,766"
7,"obstacle left, move right",very_near,far,"chair:0.95:56,933,542,1706;microwave:0.87:927,685,1077,767"
8,"obstacle left, move right",very_near,far,"chair:0.94:52,929,540,1707;microwave:0.89:923,684,1076,768"
9,"obstacle left, move right",very_near,far,"chair:0.93:49,929,537,1707;microwave:0.87:915,682,1073,762;oven:0.60:715,742,906,1090"
10,"obstacle left, move right",very_near,far,"chair:0.93:39,930,535,1707;microwave:0.86:907,681,1069,762;oven:0.68:712,743,902,1091"
11,"obstacle left, move right",very_near,far,"chair:0.93:33,931,531,1707;microwave:0.75:903,681,1057,760;oven:0.59:705,739,894,1091"
12,"obstacle left, move right",very_near,far,"chair:0.93:33,932,526,1706;microwave:0.88:899,679,1056,761;oven:0.57:704,746,886,1086"
13,"obstacle left, move right",very_near,far,"chair:0.94:24,926,526,1700;microwave:0.87:893,680,1051,762;oven:0.49:698,741,883,1089"
14,"obstacle left, move right",very_near,far,"chair:0.93:19,926,520,1702;microwave:0.88:887,677,1045,761;oven:0.51:685,750,876,1091;microwave:0.40:688,460,799,627"
15,"obstacle left, move right",very_near,far,"chair:0.94:16,926,513,1699;microwave:0.87:882,679,1045,760;oven:0.57:669,754,874,1092"
16,"obstacle left, move right",very_near,far,"chair:0.93:11,923,509,1702;microwave:0.86:880,677,1033,759;oven:0.43:668,752,868,1090"
17,"obstacle left, move right",very_near,far,"chair:0.94:7,924,501,1702;microwave:0.84:877,678,1033,758"
18,"obstacle left, move right",very_near,far,"chair:0.95:4,923,500,1704;microwave:0.88:873,677,1028,756"
